"PostalCode","City","StateProvince","Country","YearlyIncome","Gender","Education","MaritalStatus","TotalChildren"
"95667","Bremerton","WA","USA","$10K - $30K","M","High School Degree","M",2
"18218","N. Vancouver","BC","Canada","$130K - $150K","M","Partial College","M",4
"17817","Milwaukie","OR","USA","$10K - $30K","F","Partial College","S",0
"55288","Santa Monica","CA","USA","$130K - $150K","F","High School Degree","S",5
"70289","Walla Walla","WA","USA","$30K - $50K","F","High School Degree","S",4
"24162","Richmond","CA","USA","$130K - $150K","F","Graduate Degree","M",2
"55084","Oakland","CA","USA","$30K - $50K","F","High School Degree","M",5
"20209","Bellflower","CA","USA","$90K - $110K","M","Partial High School","M",2
"90000","Ballard","WA","USA","$130K - $150K","F","Partial College","S",2
"75196","Everett","WA","USA","$30K - $50K","M","Bachelors Degree","M",1
"12150","Salem","OR","USA","$110K - $130K","F","High School Degree","S",1
"62507","Concord","CA","USA","$30K - $50K","F","Bachelors Degree","S",0
"64622","Concord","CA","USA","$110K - $130K","F","High School Degree","M",4
"54848","La Jolla","CA","USA","$50K - $70K","M","Partial College","S",3
"23125","Cliffside","BC","Canada","$30K - $50K","F","Partial College","S",0
"58058","Burbank","CA","USA","$130K - $150K","M","Bachelors Degree","S",1
"39243","Spokane","WA","USA","$130K - $150K","M","Bachelors Degree","S",4
"60792","Tixapan","DF","Mexico","$50K - $70K","M","Bachelors Degree","S",5
"60392","Lynnwood","WA","USA","$90K - $110K","M","Bachelors Degree","M",3
"48103","Newport Beach","CA","USA","$50K - $70K","F","High School Degree","S",3
"13864","Oak Bay","BC","Canada","$90K - $110K","F","Partial College","M",4
"66736","Coronado","CA","USA","$10K - $30K","M","High School Degree","S",1
"71367","La Mesa","CA","USA","$90K - $110K","M","High School Degree","M",2
"90401","Santa Anita","DF","Mexico","$110K - $130K","M","Bachelors Degree","M",4
"84255","Renton","WA","USA","$150K +","F","Bachelors Degree","M",2
"69451","Glendale","CA","USA","$70K - $90K","F","Partial High School","M",5
"32697","Westminster","BC","Canada","$110K - $130K","M","Graduate Degree","S",3
"56762","Victoria","BC","Canada","$30K - $50K","M","Graduate Degree","S",3
"58876","Victoria","BC","Canada","$110K - $130K","M","Partial College","M",2
"75395","Sooke","BC","Canada","$70K - $90K","M","Bachelors Degree","M",4
"43672","Kirkland","WA","USA","$30K - $50K","M","Partial College","S",2
"26352","Chula Vista","CA","USA","$130K - $150K","M","Partial College","M",1
"33498","Seattle","WA","USA","$130K - $150K","F","Partial College","M",4
"81339","San Jose","CA","USA","$110K - $130K","F","High School Degree","S",3
"54647","Ballard","WA","USA","$110K - $130K","F","Graduate Degree","M",2
"68650","Guadalajara","Jalisco","Mexico","$70K - $90K","F","Graduate Degree","S",3
"81192","Lebanon","OR","USA","$110K - $130K","F","Partial College","M",0
"60991","Port Hammon","BC","Canada","$110K - $130K","M","Graduate Degree","M",1
"91914","Sooke","BC","Canada","$10K - $30K","M","Partial College","S",1
"11949","La Mesa","CA","USA","$30K - $50K","F","Bachelors Degree","M",2
"81740","Tacoma","WA","USA","$70K - $90K","F","Partial College","M",3
"12447","Milwaukie","OR","USA","$130K - $150K","M","Bachelors Degree","S",4
"48400","Renton","WA","USA","$30K - $50K","F","High School Degree","M",1
"98756","Grossmont","CA","USA","$90K - $110K","F","Bachelors Degree","M",1
"18729","Ladner","BC","Canada","$70K - $90K","F","Partial High School","M",3
"18391","Los Angeles","CA","USA","$90K - $110K","F","Bachelors Degree","S",5
"85666","Coronado","CA","USA","$50K - $70K","F","Partial College","S",4
"42055","Milwaukie","OR","USA","$150K +","M","Graduate Degree","S",2
"75493","Oak Bay","BC","Canada","$130K - $150K","F","Graduate Degree","S",4
"97042","Lemon Grove","CA","USA","$110K - $130K","M","Partial College","M",2
"96641","Walla Walla","WA","USA","$110K - $130K","F","Graduate Degree","M",4
"84353","Lebanon","OR","USA","$70K - $90K","F","Graduate Degree","S",0
"50114","Los Angeles","CA","USA","$110K - $130K","M","Bachelors Degree","S",1
"39870","Downey","CA","USA","$110K - $130K","M","Graduate Degree","S",4
"86178","West Covina","CA","USA","$10K - $30K","F","Partial College","S",3
"27651","Bellingham","WA","USA","$30K - $50K","F","Partial College","S",3
"24735","San Carlos","CA","USA","$70K - $90K","F","High School Degree","S",4
"99312","Metchosin","BC","Canada","$130K - $150K","F","Partial College","S",0
"44269","Concord","CA","USA","$90K - $110K","M","Bachelors Degree","S",2
"94626","Corvalis","OR","USA","$110K - $130K","M","Partial High School","M",0
"96741","Woodburn","OR","USA","$90K - $110K","M","Graduate Degree","M",1
"86967","Lakewood","CA","USA","$10K - $30K","M","Bachelors Degree","S",1
"55244","Seattle","WA","USA","$110K - $130K","F","Graduate Degree","M",4
"37925","Bremerton","WA","USA","$70K - $90K","F","Partial College","M",1
"71362","Everett","WA","USA","$70K - $90K","F","Bachelors Degree","S",1
"92912","Langford","BC","Canada","$30K - $50K","M","Bachelors Degree","S",2
"92511","Oak Bay","BC","Canada","$30K - $50K","F","Partial College","S",4
"80222","Edmonds","WA","USA","$130K - $150K","M","High School Degree","S",4
"19692","Imperial Beach","CA","USA","$30K - $50K","F","Partial High School","S",3
"98856","Woodburn","OR","USA","$50K - $70K","M","Bachelors Degree","M",0
"44872","Albany","OR","USA","$130K - $150K","F","Partial High School","M",4
"23521","Metchosin","BC","Canada","$10K - $30K","M","Graduate Degree","M",2
"93312","Corvalis","OR","USA","$50K - $70K","F","Partial High School","S",1
"78508","Arcadia","CA","USA","$110K - $130K","F","Bachelors Degree","S",4
"15462","Spokane","WA","USA","$50K - $70K","F","Bachelors Degree","S",4
"11910","Los Angeles","CA","USA","$110K - $130K","M","Bachelors Degree","S",0
"14025","Mexico City","Mexico","Mexico","$70K - $90K","F","Partial College","S",1
"30543","N. Vancouver","BC","Canada","$130K - $150K","F","Bachelors Degree","S",4
"97819","Daly City","CA","USA","$110K - $130K","M","Graduate Degree","M",2
"54207","National City","CA","USA","$30K - $50K","F","High School Degree","M",1
"87645","Imperial Beach","CA","USA","$30K - $50K","F","High School Degree","M",1
"36487","Richmond","CA","USA","$130K - $150K","M","High School Degree","S",0
"97953","Los Angeles","CA","USA","$150K +","F","Bachelors Degree","M",5
"23798","Santa Fe","DF","Mexico","$10K - $30K","F","Partial High School","S",1
"62266","Santa Cruz","CA","USA","$10K - $30K","F","Bachelors Degree","M",5
"16139","Newton","BC","Canada","$30K - $50K","M","Partial College","S",1
"47062","N. Vancouver","BC","Canada","$70K - $90K","M","High School Degree","M",2
"66096","San Diego","CA","USA","$70K - $90K","M","Graduate Degree","M",5
"36888","Sedro Wooley","WA","USA","$10K - $30K","F","Graduate Degree","M",3
"22084","La Jolla","CA","USA","$30K - $50K","M","Graduate Degree","M",2
"58037","Woodburn","OR","USA","$130K - $150K","F","Bachelors Degree","M",2
"93945","Imperial Beach","CA","USA","$30K - $50K","M","Partial College","S",2
"84216","Burnaby","BC","Canada","$130K - $150K","F","Graduate Degree","M",1
"17364","Santa Anita","DF","Mexico","$50K - $70K","M","Partial High School","S",3
"42719","Novato","CA","USA","$130K - $150K","M","Graduate Degree","M",4
"25400","Woodland Hills","CA","USA","$50K - $70K","F","Bachelors Degree","S",3
"58838","Ladner","BC","Canada","$50K - $70K","M","Bachelors Degree","S",1
"80387","National City","CA","USA","$10K - $30K","M","Partial College","M",5
"79986","Olympia","WA","USA","$150K +","F","High School Degree","M",2
"67698","Woodburn","OR","USA","$10K - $30K","M","High School Degree","S",5
"33459","Santa Anita","DF","Mexico","$10K - $30K","M","Bachelors Degree","M",2
"86331","Bellflower","CA","USA","$30K - $50K","M","Graduate Degree","M",2
"90961","Torrance","CA","USA","$70K - $90K","F","Bachelors Degree","S",2
"10996","Lynnwood","WA","USA","$70K - $90K","F","Partial High School","M",2
"80803","Lemon Grove","CA","USA","$10K - $30K","F","Bachelors Degree","M",0
"92275","Sooke","BC","Canada","$30K - $50K","F","Partial High School","M",1
"29229","La Cruz","Sinaloa","Mexico","$130K - $150K","F","Partial College","M",3
"79586","Beaverton","OR","USA","$50K - $70K","M","Bachelors Degree","M",5
"27502","W. Linn","OR","USA","$150K +","F","Bachelors Degree","S",2
"17728","Burbank","CA","USA","$70K - $90K","F","Partial College","S",3
"85004","El Cajon","CA","USA","$50K - $70K","F","Graduate Degree","S",3
"67685","Renton","WA","USA","$130K - $150K","F","Bachelors Degree","S",1
"74830","Bellingham","WA","USA","$110K - $130K","M","Partial College","M",2
"23672","Oak Bay","BC","Canada","$70K - $90K","F","Bachelors Degree","S",5
"23272","Ladner","BC","Canada","$110K - $130K","F","Partial College","S",1
"10983","Sedro Wooley","WA","USA","$90K - $110K","M","High School Degree","S",3
"49452","La Mesa","CA","USA","$110K - $130K","M","Partial College","M",3
"29617","W. Linn","OR","USA","$90K - $110K","M","Partial College","M",2
"34247","Oregon City","OR","USA","$130K - $150K","M","Bachelors Degree","S",1
"53281","Royal Oak","BC","Canada","$50K - $70K","M","Partial High School","S",0
"24073","Milwaukie","OR","USA","$130K - $150K","F","Bachelors Degree","M",1
"92694","Concord","CA","USA","$10K - $30K","M","High School Degree","S",1
"45222","Glendale","CA","USA","$110K - $130K","M","Bachelors Degree","M",2
"95578","San Andres","DF","Mexico","$10K - $30K","M","Partial High School","M",4
"97693","San Andres","DF","Mexico","$110K - $130K","M","Graduate Degree","M",1
"15628","Burnaby","BC","Canada","$30K - $50K","M","Partial College","S",1
"82904","Merida","Yucatan","Mexico","$10K - $30K","F","Partial College","M",3
"39293","Vancouver","BC","Canada","$90K - $110K","M","Graduate Degree","S",5
"72730","Lincoln Acres","CA","USA","$70K - $90K","M","High School Degree","M",4
"94279","Tlaxiaco","Oaxaca","Mexico","$50K - $70K","F","Partial College","M",1
"93879","Tixapan","DF","Mexico","$70K - $90K","M","Partial High School","M",1
"81590","Richmond","BC","Canada","$90K - $110K","F","Partial College","M",1
"47352","Lake Oswego","OR","USA","$130K - $150K","M","High School Degree","S",1
"12255","La Mesa","CA","USA","$110K - $130K","F","Partial College","S",3
"32147","Chula Vista","CA","USA","$150K +","M","High School Degree","M",1
"51181","Daly City","CA","USA","$50K - $70K","F","High School Degree","S",4
"21973","Metchosin","BC","Canada","$110K - $130K","M","Partial College","S",4
"71696","Torrance","CA","USA","$110K - $130K","M","High School Degree","M",2
"43122","Haney","BC","Canada","$70K - $90K","M","High School Degree","S",2
"93479","National City","CA","USA","$130K - $150K","F","High School Degree","S",3
"95593","Coronado","CA","USA","$70K - $90K","M","High School Degree","M",2
"11498","Cliffside","BC","Canada","$130K - $150K","M","High School Degree","M",2
"78774","W. Linn","OR","USA","$110K - $130K","M","High School Degree","S",5
"61454","Spring Valley","CA","USA","$130K - $150K","M","Partial College","M",4
"94892","Westminster","BC","Canada","$130K - $150K","F","High School Degree","S",4
"17442","Guadalajara","Jalisco","Mexico","$50K - $70K","F","High School Degree","S",0
"17042","Sedro Wooley","WA","USA","$90K - $110K","F","Partial High School","M",0
"4753","Lake Oswego","OR","USA","$70K - $90K","F","Bachelors Degree","M",4
"69514","Cliffside","BC","Canada","$90K - $110K","M","High School Degree","S",2
"23387","Altadena","CA","USA","$70K - $90K","F","Bachelors Degree","M",3
"28017","San Gabriel","CA","USA","$150K +","M","Partial College","S",0
"47051","Novato","CA","USA","$30K - $50K","F","Partial College","S",2
"17843","San Diego","CA","USA","$70K - $90K","M","Partial College","S",0
"30396","Ladner","BC","Canada","$110K - $130K","M","Bachelors Degree","S",2
"65284","Hidalgo","Zacatecas","Mexico","$30K - $50K","F","Partial College","M",0
"89348","Long Beach","CA","USA","$90K - $110K","F","High School Degree","M",1
"91463","Albany","OR","USA","$70K - $90K","M","Bachelors Degree","S",4
"89834","Torrance","CA","USA","$30K - $50K","F","Graduate Degree","S",2
"20735","Ballard","WA","USA","$110K - $130K","M","Partial College","M",3
"34155","Bellingham","WA","USA","$70K - $90K","M","Bachelors Degree","S",2
"10561","Edmonds","WA","USA","$70K - $90K","F","Partial College","M",0
"58402","Cliffside","BC","Canada","$30K - $50K","F","High School Degree","S",3
"31710","Lebanon","OR","USA","$30K - $50K","F","Bachelors Degree","M",1
"45713","Bellflower","CA","USA","$130K - $150K","F","Partial College","S",0
"84181","Spring Valley","CA","USA","$30K - $50K","F","Partial College","M",3
"38054","Novato","CA","USA","$50K - $70K","M","Partial High School","S",3
"68977","San Carlos","CA","USA","$90K - $110K","F","Bachelors Degree","S",2
"88011","Woodland Hills","CA","USA","$90K - $110K","F","High School Degree","M",3
"58803","Camacho","Zacatecas","Mexico","$50K - $70K","F","Bachelors Degree","M",1
"43999","Arcadia","CA","USA","$110K - $130K","F","Bachelors Degree","M",0
"79952","Downey","CA","USA","$10K - $30K","F","Partial College","M",3
"31309","Los Angeles","CA","USA","$70K - $90K","F","Partial High School","M",3
"33424","Everett","WA","USA","$70K - $90K","M","High School Degree","S",4
"49943","N. Vancouver","BC","Canada","$130K - $150K","M","Graduate Degree","M",1
"18219","Daly City","CA","USA","$70K - $90K","M","Partial College","M",0
"98284","Walla Walla","WA","USA","$30K - $50K","M","Partial College","M",4
"32723","Imperial Beach","CA","USA","$30K - $50K","F","Partial High School","S",0
"54272","Richmond","CA","USA","$130K - $150K","M","Partial College","M",3
"53872","Los Angeles","CA","USA","$130K - $150K","F","Bachelors Degree","M",5
"41583","Newton","BC","Canada","$110K - $130K","F","Graduate Degree","M",5
"73444","Merida","Yucatan","Mexico","$10K - $30K","F","Partial High School","S",2
"60216","Ladner","BC","Canada","$30K - $50K","F","Partial College","S",0
"64846","Port Hammon","BC","Canada","$70K - $90K","M","Bachelors Degree","S",1
"83880","Coronado","CA","USA","$90K - $110K","F","Graduate Degree","M",5
"80965","Marysville","WA","USA","$130K - $150K","F","High School Degree","S",1
"66160","Fremont","CA","USA","$30K - $50K","M","High School Degree","M",0
"31145","Albany","OR","USA","$130K - $150K","M","Bachelors Degree","M",1
"53471","Langley","BC","Canada","$150K +","F","Partial High School","S",4
"55586","Langley","BC","Canada","$130K - $150K","M","Graduate Degree","S",4
"45813","Sedro Wooley","WA","USA","$50K - $70K","F","High School Degree","M",5
"14089","Burlingame","CA","USA","$150K +","F","Bachelors Degree","M",4
"87695","Sooke","BC","Canada","$110K - $130K","M","High School Degree","M",0
"22133","San Andres","DF","Mexico","$90K - $110K","F","Bachelors Degree","S",1
"43683","Pomona","CA","USA","$110K - $130K","M","Partial High School","S",3
"43282","Downey","CA","USA","$110K - $130K","M","Partial High School","M",3
"30993","Palo Alto","CA","USA","$90K - $110K","M","Bachelors Degree","M",3
"69462","Everett","WA","USA","$110K - $130K","F","Bachelors Degree","M",3
"49627","Acapulco","Guerrero","Mexico","$130K - $150K","M","Partial College","M",5
"54257","Tlaxiaco","Oaxaca","Mexico","$30K - $50K","M","Bachelors Degree","S",3
"73291","Redmond","WA","USA","$50K - $70K","M","Graduate Degree","M",0
"44083","Haney","BC","Canada","$90K - $110K","F","High School Degree","S",2
"29279","Burien","WA","USA","$150K +","F","Bachelors Degree","M",0
"65232","Mexico City","Mexico","Mexico","$90K - $110K","F","Graduate Degree","S",0
"16590","Merida","Yucatan","Mexico","$150K +","M","Graduate Degree","S",2
"18704","Hidalgo","Zacatecas","Mexico","$90K - $110K","M","Partial College","S",1
"35223","Lemon Grove","CA","USA","$70K - $90K","F","Graduate Degree","S",4
"35005","Ladner","BC","Canada","$50K - $70K","M","Graduate Degree","S",2
"10857","Burien","WA","USA","$130K - $150K","F","Partial High School","S",2
"44295","Anacortes","WA","USA","$110K - $130K","F","Partial College","M",2
"92137","Royal Oak","BC","Canada","$90K - $110K","F","Bachelors Degree","S",1
"65444","Oregon City","OR","USA","$70K - $90K","M","Bachelors Degree","S",3
"79447","San Gabriel","CA","USA","$90K - $110K","F","Partial High School","S",2
"18917","Westminster","BC","Canada","$90K - $110K","F","Bachelors Degree","M",0
"71789","Mill Valley","CA","USA","$90K - $110K","M","High School Degree","S",1
"37125","Palo Alto","CA","USA","$130K - $150K","M","High School Degree","M",3
"22746","Newport Beach","CA","USA","$150K +","F","Bachelors Degree","M",4
"92537","Orizaba","Veracruz","Mexico","$90K - $110K","F","Bachelors Degree","M",4
"33970","Novato","CA","USA","$30K - $50K","F","Bachelors Degree","M",5
"84327","Ladner","BC","Canada","$90K - $110K","M","Bachelors Degree","S",1
"86441","Burlingame","CA","USA","$70K - $90K","M","Graduate Degree","S",4
"39612","Redwood City","CA","USA","$90K - $110K","F","High School Degree","M",3
"71237","Richmond","CA","USA","$110K - $130K","F","Partial College","S",2
"27625","Santa Anita","DF","Mexico","$50K - $70K","M","Partial High School","M",4
"61063","Yakima","WA","USA","$70K - $90K","F","Bachelors Degree","S",3
"99052","N. Vancouver","BC","Canada","$10K - $30K","F","High School Degree","S",5
"82212","Palo Alto","CA","USA","$70K - $90K","F","Partial College","S",1
"96215","Palo Alto","CA","USA","$30K - $50K","F","High School Degree","S",3
"35684","Camacho","Zacatecas","Mexico","$90K - $110K","F","Bachelors Degree","S",3
"88556","Woodburn","OR","USA","$70K - $90K","M","Partial High School","S",1
"20480","Long Beach","CA","USA","$130K - $150K","M","Bachelors Degree","S",3
"31729","Burbank","CA","USA","$50K - $70K","M","Graduate Degree","M",3
"25222","San Diego","CA","USA","$10K - $30K","F","High School Degree","M",4
"86716","Tacoma","WA","USA","$50K - $70K","F","Bachelors Degree","S",4
"23670","Beaverton","OR","USA","$10K - $30K","F","Partial High School","S",4
"74027","Tixapan","DF","Mexico","$50K - $70K","F","Graduate Degree","S",4
"76142","Glendale","CA","USA","$30K - $50K","M","Partial College","M",4
"92661","Lakewood","CA","USA","$70K - $90K","M","Partial College","S",1
"34645","Burien","WA","USA","$110K - $130K","F","Partial College","S",0
"17326","San Jose","CA","USA","$10K - $30K","M","Bachelors Degree","M",5
"50763","Royal Oak","BC","Canada","$30K - $50K","F","High School Degree","S",3
"72313","Acapulco","Guerrero","Mexico","$110K - $130K","M","High School Degree","S",1
"71912","San Gabriel","CA","USA","$30K - $50K","M","High School Degree","M",3
"59623","Arcadia","CA","USA","$30K - $50K","M","Graduate Degree","M",2
"25385","Sedro Wooley","WA","USA","$110K - $130K","F","High School Degree","M",2
"78257","Burlingame","CA","USA","$90K - $110K","M","Partial High School","S",4
"82887","Royal Oak","BC","Canada","$50K - $70K","M","High School Degree","M",3
"29222","Merida","Yucatan","Mexico","$50K - $70K","F","Bachelors Degree","M",3
"97100","Beverly Hills","CA","USA","$110K - $130K","F","Partial College","M",2
"82296","Spring Valley","CA","USA","$150K +","M","Partial College","S",2
"19250","Tixapan","DF","Mexico","$110K - $130K","M","Partial High School","S",1
"69607","Mill Valley","CA","USA","$10K - $30K","M","Partial High School","S",2
"71722","Haney","BC","Canada","$130K - $150K","F","Partial College","M",2
"61948","Newton","BC","Canada","$70K - $90K","M","Partial College","S",5
"30225","Olympia","WA","USA","$70K - $90K","F","Partial College","S",2
"12905","Altadena","CA","USA","$110K - $130K","M","Partial College","S",0
"20051","Burien","WA","USA","$90K - $110K","M","Bachelors Degree","S",1
